phosphopyruvate hydratase complex	GO:0000015
sarcosine oxidase complex	GO:0032921
SREBP-SCAP complex	GO:0032936
SREBP-SCAP-Insig complex	GO:0032937
endosomal scaffold complex	GO:0032969
myosin filament	GO:0032982
kainate selective glutamate receptor complex	GO:0032983
macromolecular complex	GO:0032991
protein-carbohydrate complex	GO:0032992
protein-DNA complex	GO:0032993
protein-lipid complex	GO:0032994
Bcl3-Bcl10 complex	GO:0032996
Fc receptor complex	GO:0032997
Fc-epsilon receptor I complex	GO:0032998
Fc-alpha receptor I complex	GO:0032999
Fc-gamma receptor I complex	GO:0033000
Fc-gamma receptor III complex	GO:0033001
nucleomorph	GO:0033009
paranodal junction	GO:0033010
perinuclear theca	GO:0033011
porosome	GO:0033012
rhoptry membrane	GO:0033016
sarcoplasmic reticulum membrane	GO:0033017
sarcoplasmic reticulum lumen	GO:0033018
DNA recombinase mediator complex	GO:0033061
Rhp55-Rhp57 complex	GO:0033062
Rad51B-Rad51C-Rad51D-XRCC2 complex	GO:0033063
XRCC2-RAD51D complex	GO:0033064
Rad51C-XRCC3 complex	GO:0033065
Rad51B-Rad51C complex	GO:0033066
Weibel-Palade body	GO:0033093
aleurone grain	GO:0033095
amyloplast envelope	GO:0033096
amyloplast membrane	GO:0033097
amyloplast inner membrane	GO:0033098
attachment organelle	GO:0033099
NuA3 histone acetyltransferase complex	GO:0033100
cellular bud membrane	GO:0033101
acidocalcisome membrane	GO:0033102
type VI protein secretion system complex	GO:0033104
chlorosome envelope	GO:0033105
cis-Golgi network membrane	GO:0033106
CVT vesicle	GO:0033107
Cvt vesicle membrane	GO:0033110
attachment organelle membrane	GO:0033111
cyanelle envelope	GO:0033112
cyanelle membrane	GO:0033113
cyanelle thylakoid lumen	GO:0033114
cyanelle thylakoid membrane	GO:0033115
endoplasmic reticulum-Golgi intermediate compartment membrane	GO:0033116
esterosome	GO:0033117
esterosome membrane	GO:0033118
cytoskeletal calyx	GO:0033150
melanosome membrane	GO:0033162
microneme membrane	GO:0033163
interphotoreceptor matrix	GO:0033165
hyaline layer	GO:0033166
ARC complex	GO:0033167
gas vesicle shell	GO:0033172
chloroplast proton-transporting ATP synthase complex, catalytic core CF(1)	GO:0033174
chloroplast proton-transporting ATP synthase complex, coupling factor CF(o)	GO:0033175
proton-transporting V-type ATPase complex	GO:0033176
proton-transporting two-sector ATPase complex, proton-transporting domain	GO:0033177
proton-transporting two-sector ATPase complex, catalytic domain	GO:0033178
proton-transporting V-type ATPase, V0 domain	GO:0033179
proton-transporting V-type ATPase, V1 domain	GO:0033180
plasma membrane proton-transporting V-type ATPase complex	GO:0033181
dolichol-phosphate-mannose synthase complex	GO:0033185
CAF-1 complex	GO:0033186
Lsd1/2 complex	GO:0033193
DNA helicase complex	GO:0033202
DNA helicase A complex	GO:0033203
vacuolar transporter chaperone complex	GO:0033254
SAS acetyltransferase complex	GO:0033255
I-kappaB/NF-kappaB complex	GO:0033256
Bcl3/NF-kappaB2 complex	GO:0033257
CORVET complex	GO:0033263
axon part	GO:0033267
node of Ranvier	GO:0033268
internode region of axon	GO:0033269
paranode region of axon	GO:0033270
transcription factor TFTC complex	GO:0033276
TAT protein transport complex	GO:0033281
protein C inhibitor-acrosin complex	GO:0033282
intraconoid microtubule	GO:0033289
eukaryotic 48S preinitiation complex	GO:0033290
eukaryotic 80S initiation complex	GO:0033291
SBF transcription complex	GO:0033309
chromatoid body	GO:0033391
HULC complex	GO:0033503
monopolin complex	GO:0033551
rDNA heterochromatin	GO:0033553
Slx1-Slx4 complex	GO:0033557
ESCRT-0 complex	GO:0033565
high-affinity iron permease complex	GO:0033573
rhabdomere membrane	GO:0033583
Elongator holoenzyme complex	GO:0033588
BRCA2-MAGE-D1 complex	GO:0033593
TSC1-TSC2 complex	GO:0033596
mitotic checkpoint complex	GO:0033597
SOD1-Bcl-2 complex	GO:0033607
Mei2 nuclear dot complex	GO:0033620
host cell part	GO:0033643
host cell membrane	GO:0033644
host cell endomembrane system	GO:0033645
host intracellular part	GO:0033646
host intracellular organelle	GO:0033647
host intracellular membrane-bounded organelle	GO:0033648
host cell mitochondrion	GO:0033650
host cell plastid	GO:0033651
host cell chloroplast	GO:0033652
host cell chloroplast part	GO:0033653
host cell chloroplast thylakoid membrane	GO:0033654
host cell cytoplasm part	GO:0033655
pericanalicular vesicle	GO:0033675
Rpd3L complex	GO:0033698
SUMO-targeted ubiquitin ligase complex	GO:0033768
basal labyrinth	GO:0033774
acidocalcisome lumen	GO:0033985
exomer complex	GO:0034044
pre-autophagosomal structure membrane	GO:0034045
cyanelle stroma	GO:0034060
Tor2-Mei2-Ste11 complex	GO:0034064
RIC1-RGP1 guanyl-nucleotide exchange factor complex	GO:0034066
type II polyketide synthase complex	GO:0034082
type III polyketide synthase complex	GO:0034083
Cdc48p-Npl4p-Ufd1p AAA ATPase complex	GO:0034098
luminal surveillance complex	GO:0034099
enhanceosome	GO:0034206
mitochondrial DNA-directed RNA polymerase complex	GO:0034245
CVT complex	GO:0034270
phosphatidylinositol 3-kinase complex, class III, type I	GO:0034271
phosphatidylinositol 3-kinase complex, class III, type II	GO:0034272
ATG1/UKL1 signaling complex	GO:0034273
Atg12-Atg5-Atg16 complex	GO:0034274
photosynthetic membrane	GO:0034357
plasma lipoprotein particle	GO:0034358
mature chylomicron	GO:0034359
chylomicron remnant	GO:0034360
very-low-density lipoprotein particle	GO:0034361
low-density lipoprotein particle	GO:0034362
intermediate-density lipoprotein particle	GO:0034363
high-density lipoprotein particle	GO:0034364
discoidal high-density lipoprotein particle	GO:0034365
spherical high-density lipoprotein particle	GO:0034366
triglyceride-rich lipoprotein particle	GO:0034385
Pwp2p-containing subcomplex of 90S preribosome	GO:0034388
nuclear periphery	GO:0034399
gerontoplast	GO:0034400
aleurone grain lumen	GO:0034422
autophagic vacuole lumen	GO:0034423
Vps55/Vps68 complex	GO:0034424
etioplast envelope	GO:0034425
etioplast membrane	GO:0034426
monolayer-surrounded lipid storage body outer lipid monolayer	GO:0034430
EGO complex	GO:0034448
centriolar satellite	GO:0034451
t-UTP complex	GO:0034455
UTP-C complex	GO:0034456
Mpp10 complex	GO:0034457
BBSome	GO:0034464
chromaffin granule lumen	GO:0034466
esterosome lumen	GO:0034467
glycosome lumen	GO:0034468
Golgi stack lumen	GO:0034469
hydrogenosome lumen	GO:0034492
melanosome lumen	GO:0034493
microneme lumen	GO:0034494
protein storage vacuole lumen	GO:0034495
chromosome, centromeric core domain	GO:0034506
chromosome, centromeric outer repeat region	GO:0034507
proteasome storage granule	GO:0034515
RNA cap binding complex	GO:0034518
cytoplasmic RNA cap binding complex	GO:0034519
rhoptry lumen	GO:0034591
synaptic vesicle lumen	GO:0034592
GCH1 complex	GO:0034615
organelle-enclosing lipid monolayer	GO:0034646
GID complex	GO:0034657
CFTR-NHERF-ezrin complex	GO:0034662
endoplasmic reticulum chaperone complex	GO:0034663
Ig heavy chain-bound endoplasmic reticulum chaperone complex	GO:0034664
integrin alpha1-beta1 complex	GO:0034665
integrin alpha2-beta1 complex	GO:0034666
integrin alpha3-beta1 complex	GO:0034667
integrin alpha4-beta1 complex	GO:0034668
integrin alpha4-beta7 complex	GO:0034669
inhibin-betaglycan-ActRII complex	GO:0034673
integrin alpha5-beta1 complex	GO:0034674
integrin alpha6-beta1 complex	GO:0034675
integrin alpha6-beta4 complex	GO:0034676
integrin alpha7-beta1 complex	GO:0034677
integrin alpha8-beta1 complex	GO:0034678
integrin alpha9-beta1 complex	GO:0034679
integrin alpha10-beta1 complex	GO:0034680
integrin alpha11-beta1 complex	GO:0034681
integrin alphav-beta1 complex	GO:0034682
integrin alphav-beta3 complex	GO:0034683
integrin alphav-beta5 complex	GO:0034684
integrin alphav-beta6 complex	GO:0034685
integrin alphav-beta8 complex	GO:0034686
integrin alphaL-beta2 complex	GO:0034687
integrin alphaM-beta2 complex	GO:0034688
integrin alphaX-beta2 complex	GO:0034689
integrin alphaD-beta2 complex	GO:0034690
integrin alphaE-beta7 complex	GO:0034691
E.F.G complex	GO:0034692
U11/U12 snRNP	GO:0034693
ion channel complex	GO:0034702
cation channel complex	GO:0034703
calcium channel complex	GO:0034704
potassium channel complex	GO:0034705
sodium channel complex	GO:0034706
chloride channel complex	GO:0034707
methyltransferase complex	GO:0034708
methylosome	GO:0034709
pICln-Sm protein complex	GO:0034715
Gemin3-Gemin4-Gemin5 complex	GO:0034716
Gemin6-Gemin7-unrip complex	GO:0034717
SMN-Gemin2 complex	GO:0034718
SMN-Sm protein complex	GO:0034719
SmD-containing SMN-Sm protein complex	GO:0034730
Lsm-containing SMN-Sm protein complex	GO:0034731
transcription factor TFIIIB-alpha complex	GO:0034732
transcription factor TFIIIB-beta complex	GO:0034733
transcription factor TFIIIC1 complex	GO:0034734
transcription factor TFIIIC2 complex	GO:0034735
TFIIIC-TOP1-SUB1 complex	GO:0034740
APC-tubulin-IQGAP1 complex	GO:0034741
APC-IQGAP complex	GO:0034743
APC-IQGAP1-Cdc42 complex	GO:0034744
APC-IQGAP1-Rac1 complex	GO:0034745
APC-IQGAP1-CLIP-170 complex	GO:0034746
Par3-APC-KIF3A complex	GO:0034748
Scrib-APC complex	GO:0034749
Scrib-APC-beta-catenin complex	GO:0034750
aryl hydrocarbon receptor complex	GO:0034751
cytosolic aryl hydrocarbon receptor complex	GO:0034752
nuclear aryl hydrocarbon receptor complex	GO:0034753
secretory granule lumen	GO:0034774
recycling endosome lumen	GO:0034777
Set3 complex	GO:0034967
Sid2-Mob1 complex	GO:0034973
Swi5-Swi2 complex	GO:0034974
ABIN2-NFKB1-MAP3K8 complex	GO:0034977
PDX1-PBX1b-MRG1 complex	GO:0034978
FHL2-CREB complex	GO:0034980
FHL3-CREB complex	GO:0034981
Ecsit-NDUFAF1 complex	GO:0034985
nuclear mitotic cohesin complex	GO:0034990
nuclear meiotic cohesin complex	GO:0034991
microtubule organizing center attachment site	GO:0034992
LINC complex	GO:0034993
SC5b-7 complex	GO:0034995
RasGAP-Fyn-Lyn-Yes complex	GO:0034996
alphav-beta5 integrin-vitronectin complex	GO:0034997
oligosaccharyltransferase I complex	GO:0034998
oligosaccharyltransferase II complex	GO:0034999
oligosaccharyltransferase III complex	GO:0035000
subapical complex	GO:0035003
polytene chromosome, telomeric region	GO:0035012
phosphatidylinositol 3-kinase complex, class III	GO:0035032
RCAF complex	GO:0035059
brahma complex	GO:0035060
interchromatin granule	GO:0035061
omega speckle	GO:0035062
micro-ribonucleoprotein complex	GO:0035068
histone methyltransferase complex	GO:0035097
ESC/E(Z) complex	GO:0035098
FACT complex	GO:0035101
PRC1 complex	GO:0035102
exon-exon junction complex	GO:0035145
female germline ring canal outer rim	GO:0035182
female germline ring canal inner rim	GO:0035183
Rb-E2F complex	GO:0035189
cytoneme	GO:0035230
ciliary rootlet	GO:0035253
NuA4 histone acetyltransferase complex	GO:0035267
Hedgehog signaling complex	GO:0035301
male germline ring canal	GO:0035323
female germline ring canal	GO:0035324
transcriptionally active chromatin	GO:0035327
transcriptionally silent chromatin	GO:0035328
SPOTS complex	GO:0035339
Toll-like receptor 1-Toll-like receptor 2 protein complex	GO:0035354
Toll-like receptor 2-Toll-like receptor 6 protein complex	GO:0035355
Cul8-RING ubiquitin ligase complex	GO:0035361
histone locus body	GO:0035363
pre-B cell receptor complex	GO:0035369
UBC13-UEV1A complex	GO:0035370
microtubule plus-end	GO:0035371
extrinsic component of thylakoid membrane	GO:0035448
extrinsic component of plastid thylakoid membrane	GO:0035449
extrinsic component of lumenal side of plastid thylakoid membrane	GO:0035450
extrinsic component of stromal side of plastid thylakoid membrane	GO:0035451
extrinsic component of plastid membrane	GO:0035452
extrinsic component of plastid inner membrane	GO:0035453
extrinsic component of stromal side of plastid inner membrane	GO:0035454
PR-DUB complex	GO:0035517
NF-kappaB p50/p65 complex	GO:0035525
urease complex	GO:0035550
azurophil granule membrane	GO:0035577
azurophil granule lumen	GO:0035578
specific granule membrane	GO:0035579
specific granule lumen	GO:0035580
root hair	GO:0035618
root hair tip	GO:0035619
CD40 receptor complex	GO:0035631
mitochondrial prohibitin complex	GO:0035632
Nrd1 complex	GO:0035649
eRF1 methyltransferase complex	GO:0035657
Mon1-Ccz1 complex	GO:0035658
sperm fibrous sheath	GO:0035686
macrophage migration inhibitory factor receptor complex	GO:0035692
NOS2-CD74 complex	GO:0035693
myelin sheath abaxonal region	GO:0035748
myelin sheath adaxonal region	GO:0035749
ribonucleoprotein granule	GO:0035770
other organism postsynaptic membrane	GO:0035792
ATP-binding cassette (ABC) transporter complex, transmembrane substrate-binding subunit-containing	GO:0035796
egg coat	GO:0035805
meiotic recombination initiation complex	GO:0035808
growing cell tip	GO:0035838
non-growing cell tip	GO:0035839
old growing cell tip	GO:0035840
new growing cell tip	GO:0035841
old cell tip after activation of bipolar cell growth	GO:0035842
endonuclear canal	GO:0035843
Seh1-associated complex	GO:0035859
site of double-strand break	GO:0035861
alphav-beta3 integrin-PKCalpha complex	GO:0035866
alphav-beta3 integrin-IGF-1-IGF1R complex	GO:0035867
alphav-beta3 integrin-HMGB1 complex	GO:0035868
ciliary transition zone	GO:0035869
meiotic spindle pole body	GO:0035974
AP1 complex	GO:0035976
senescence-associated heterochromatin focus	GO:0035985
rhabdomere microvillus	GO:0035996
rhabdomere microvillus membrane	GO:0035997
mucocyst	GO:0036000
scintillon	GO:0036007
cyanelle inner membrane	GO:0036012
cyanelle outer membrane	GO:0036013
cyanelle intermembrane space	GO:0036014
endolysosome	GO:0036019
endolysosome membrane	GO:0036020
endolysosome lumen	GO:0036021
protein C inhibitor-TMPRSS7 complex	GO:0036024
protein C inhibitor-TMPRSS11E complex	GO:0036025
protein C inhibitor-PLAT complex	GO:0036026
protein C inhibitor-PLAU complex	GO:0036027
protein C inhibitor-thrombin complex	GO:0036028
protein C inhibitor-KLK3 complex	GO:0036029
protein C inhibitor-plasma kallikrein complex	GO:0036030
TCTN-B9D complex	GO:0036038
microspike	GO:0044393
glomerular endothelium fenestra	GO:0036053
filtration diaphragm	GO:0036056
slit diaphragm	GO:0036057
presynaptic periactive zone	GO:0036062
acroblast	GO:0036063
ciliary basal body	GO:0036064
glutathione synthase complex	GO:0036087
hyaluranon cable	GO:0036117
fatty acid beta-oxidation multienzyme complex	GO:0036125
sperm flagellum	GO:0036126
CatSper complex	GO:0036128
inner dynein arm	GO:0036156
outer dynein arm	GO:0036157
early phagosome membrane	GO:0036186
muscle cell projection	GO:0036194
muscle cell projection membrane	GO:0036195
pairing center	GO:0036224
septal periplasm	GO:0036240
Cdc48p-Npl4p-Vms1p AAA ATPase complex	GO:0036266
tubulobulbar complex	GO:0036284
eisosome filament	GO:0036286
viral membrane	GO:0036338
ascus membrane	GO:0036362
Kibra-Ex-Mer complex	GO:0036375
myofilament	GO:0036379
pre-replicative complex	GO:0036387
bacterial pre-replicative complex	GO:0036389
medial cortex septin ring	GO:0036391
MIS complex	GO:0036396
TCR signalosome	GO:0036398
anchored component of cell outer membrane	GO:0036405
anchored component of periplasmic side of cell outer membrane	GO:0036406
mycolate outer membrane	GO:0036407
histone H3-K14 acetyltransferase complex	GO:0036409
Mst2 histone acetyltransferase complex	GO:0036410
H-NS-Cnu complex	GO:0036411
intrinsic component of mycolate outer membrane	GO:0036418
integral component of mycolate outer membrane	GO:0036419
extrinsic component of mycolate outer membrane	GO:0036420
extrinsic component of external side of mycolate outer membrane	GO:0036421
Isw1a complex	GO:0036436
Isw1b complex	GO:0036437
microtubule minus-end	GO:0036449
ESCRT complex	GO:0036452
growth factor complex	GO:0036454
keratohyalin granule	GO:0036457
cytoplasmic ribonucleoprotein granule	GO:0036464
somatodendritic compartment	GO:0036477
CHOP-C/EBP complex	GO:0036488
G-protein coupled receptor dimeric complex	GO:0038037
G-protein coupled receptor homodimeric complex	GO:0038038
G-protein coupled receptor heterodimeric complex	GO:0038039
large latent transforming growth factor-beta complex	GO:0038045
IKKalpha-IKKalpha complex	GO:0038059
nodal receptor complex	GO:0038104
ERBB4-EGFR complex	GO:0038139
ERBB4-ERBB3 complex	GO:0038140
ERBB4-ERBB4 complex	GO:0038141
EGFR:ERBB2 complex	GO:0038142
ERBB3:ERBB2 complex	GO:0038143
ERBB4:ERBB2 complex	GO:0038144
type I interferon receptor complex	GO:0038197
TOR complex	GO:0038201
T=1 icosahedral viral capsid	GO:0039615
T=2 icosahedral viral capsid	GO:0039616
T=3 icosahedral viral capsid	GO:0039617
T=pseudo3 icosahedral viral capsid	GO:0039618
T=4 icosahedral viral capsid	GO:0039619
T=7 icosahedral viral capsid	GO:0039620
T=13 icosahedral viral capsid	GO:0039621
T=16 icosahedral viral capsid	GO:0039622
T=25 icosahedral viral capsid	GO:0039623
viral outer capsid	GO:0039624
viral inner capsid	GO:0039625
viral intermediate capsid	GO:0039626
T=147 icosahedral capsid	GO:0039627
T=169 icosahedral viral capsid	GO:0039628
T=219 icosahedral capsid	GO:0039629
viral inner membrane	GO:0039641
virion nucleoid	GO:0039642
host cell viral nucleoid	GO:0039643
TBK1-IKKE-DDX3 complex	GO:0039658
host organelle outer membrane	GO:0039661
host cell outer membrane	GO:0039662
viral capsid, turret	GO:0039670
viral occlusion body	GO:0039679
viral factory	GO:0039713
cytoplasmic viral factory	GO:0039714
nuclear viral factory	GO:0039715
viroplasm viral factory	GO:0039716
spherule viral factory	GO:0039717
double membrane vesicle viral factory	GO:0039718
tube viral factory	GO:0039719
virogenic stroma	GO:0039720
peristromal region viral factory	GO:0039721
interleukin-12 receptor complex	GO:0042022
host cell nucleus	GO:0042025
alpha-beta T cell receptor complex	GO:0042105
gamma-delta T cell receptor complex	GO:0042106
nematocyst	GO:0042151
plastid membrane	GO:0042170
nuclear outer membrane-endoplasmic reticulum membrane network	GO:0042175
nuclear RNA export factor complex	GO:0042272
paraspeckles	GO:0042382
sarcolemma	GO:0042383
myosin III complex	GO:0042385
nuclear inclusion body	GO:0042405
extrinsic component of endoplasmic reticulum membrane	GO:0042406
melanosome	GO:0042470
MCM complex	GO:0042555
importin alpha-subunit nuclear export complex	GO:0042563
NLS-dependent protein nuclear import complex	GO:0042564
RNA nuclear export complex	GO:0042565
hydrogenosome	GO:0042566
insulin-like growth factor ternary complex	GO:0042567
insulin-like growth factor binary complex	GO:0042568
immunoglobulin complex, circulating	GO:0042571
DNA polymerase complex	GO:0042575
microbody	GO:0042579
mannosome	GO:0042580
specific granule	GO:0042581
azurophil granule	GO:0042582
chromaffin granule	GO:0042583
chromaffin granule membrane	GO:0042584
germinal vesicle	GO:0042585
glycogen granule	GO:0042587
zymogen granule	GO:0042588
zymogen granule membrane	GO:0042589
periplasmic space	GO:0042597
lamellar body	GO:0042599
chorion	GO:0042600
endospore-forming forespore	GO:0042601
capsule	GO:0042603
MHC protein complex	GO:0042611
photoreceptor outer segment membrane	GO:0042622
chylomicron	GO:0042627
mast cell granule	GO:0042629
actomyosin	GO:0042641
actomyosin, myosin complex part	GO:0042642
actomyosin, actin portion	GO:0042643
chloroplast nucleoid	GO:0042644
mitochondrial nucleoid	GO:0042645
plastid nucleoid	GO:0042646
proplastid nucleoid	GO:0042647
chloroplast chromosome	GO:0042648
prothylakoid	GO:0042649
prothylakoid membrane	GO:0042650
thylakoid membrane	GO:0042651
mitochondrial respiratory chain complex I, peripheral segment	GO:0042652
mitochondrial respiratory chain complex I, membrane segment	GO:0042653
succinate-CoA ligase complex	GO:0042709
plasma membrane-derived chromatophore membrane	GO:0042717
yolk granule	GO:0042718
mitochondrial intermembrane space protein transporter complex	GO:0042719
mitochondrial inner membrane peptidase complex	GO:0042720
mitochondrial inner membrane protein insertion complex	GO:0042721
DASH complex	GO:0042729
presynaptic membrane	GO:0042734
protein body	GO:0042735
giant axon	GO:0042757
intracellular immature spore	GO:0042763
ascospore-type prospore	GO:0042764
GPI-anchor transamidase complex	GO:0042765
polysomal ribosome	GO:0042788
central vacuole	GO:0042807
MHC class I peptide loading complex	GO:0042824
TAP complex	GO:0042825
platelet dense granule	GO:0042827
cell projection	GO:0042995
NADPH oxidase complex	GO:0043020
neuronal cell body	GO:0043025
costamere	GO:0043034
starch grain	GO:0043036
germ cell nucleus	GO:0043073
generative cell nucleus	GO:0048555
megasporocyte nucleus	GO:0043076
polar nucleus	GO:0043078
antipodal cell nucleus	GO:0043079
megagametophyte egg cell nucleus	GO:0043082
synaptic cleft	GO:0043083
acrosomal matrix	GO:0043159
acrosomal lumen	GO:0043160
P granule	GO:0043186
cell septum surface	GO:0043187
cell septum edging	GO:0043188
H4/H2A histone acetyltransferase complex	GO:0043189
axon initial segment	GO:0043194
terminal bouton	GO:0043195
varicosity	GO:0043196
dendritic spine	GO:0043197
dendritic shaft	GO:0043198
lysosomal lumen	GO:0043202
axon hillock	GO:0043203
perikaryon	GO:0043204
fibril	GO:0043205
myelin sheath	GO:0043209
compact myelin	GO:0043218
lateral loop	GO:0043219
Schmidt-Lanterman incisure	GO:0043220
cytoplasmic SCF ubiquitin ligase complex	GO:0043223
nuclear SCF ubiquitin ligase complex	GO:0043224
organelle	GO:0043226
membrane-bounded organelle	GO:0043227
non-membrane-bounded organelle	GO:0043228
intracellular organelle	GO:0043229
extracellular organelle	GO:0043230
intracellular non-membrane-bounded organelle	GO:0043232
organelle lumen	GO:0043233
protein complex	GO:0043234
receptor complex	GO:0043235
Fanconi anaemia nuclear complex	GO:0043240
extraorganismal space	GO:0043245
megasome	GO:0043246
chloroplast ribosome	GO:0043253
laminin complex	GO:0043256
laminin-8 complex	GO:0043257
laminin-9 complex	GO:0043258
laminin-10 complex	GO:0043259
laminin-11 complex	GO:0043260
laminin-12 complex	GO:0043261
cellulosome	GO:0043263
extracellular non-membrane-bounded organelle	GO:0043264
ectoplasm	GO:0043265
RAVE complex	GO:0043291
apoptosome	GO:0043293
mitochondrial glutamate synthase complex (NADH)	GO:0043294
apical junction complex	GO:0043296
mating projection tip	GO:0043332
pre-T cell receptor complex	GO:0043384
viral terminase complex	GO:0043493
CLRC ubiquitin ligase complex	GO:0043494
CENP-A containing nucleosome	GO:0043505
activin A complex	GO:0043509
activin B complex	GO:0043510
inhibin complex	GO:0043511
inhibin A complex	GO:0043512
inhibin B complex	GO:0043513
interleukin-12 complex	GO:0043514
tRNA methyltransferase complex	GO:0043527
tRNA (m2G10) methyltransferase complex	GO:0043528
GET complex	GO:0043529
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex	GO:0043540
UDP-N-acetylglucosamine transferase complex	GO:0043541
Ku70:Ku80 complex	GO:0043564
bacterial nucleoid	GO:0043590
endospore external encapsulating structure	GO:0043591
exosporium	GO:0043592
endospore coat	GO:0043593
outer endospore membrane	GO:0043594
endospore cortex	GO:0043595
nuclear replication fork	GO:0043596
cytoplasmic replication fork	GO:0043597
cytoplasmic DNA replication factor C complex	GO:0043598
nuclear DNA replication factor C complex	GO:0043599
cytoplasmic replisome	GO:0043600
nuclear replisome	GO:0043601
multi-eIF complex	GO:0043614
delta DNA polymerase complex	GO:0043625
extracellular space of host	GO:0043655
intracellular region of host	GO:0043656
host cell	GO:0043657
host symbiosome	GO:0043658
symbiosome	GO:0043659
bacteroid-containing symbiosome	GO:0043660
peribacteroid membrane	GO:0043661
peribacteroid fluid	GO:0043662
host bacteroid-containing symbiosome	GO:0043663
host peribacteroid membrane	GO:0043664
host peribacteroid fluid	GO:0043665
pollen wall	GO:0043667
exine	GO:0043668
ectexine	GO:0043669
foot layer	GO:0043670
endexine	GO:0043671
nexine	GO:0043672
sexine	GO:0043673
columella	GO:0043674
sculpture element	GO:0043675
tectum	GO:0043676
germination pore	GO:0043677
intine	GO:0043678
axon terminus	GO:0043679
filiform apparatus	GO:0043680
type IV secretion system complex	GO:0043684
iridosome	GO:0043698
leucosome	GO:0043699
pterinosome	GO:0043700
cyanosome	GO:0043701
carotenoid vesicle	GO:0043702
Tpg-containing telomere binding complex	GO:0043769
DNA polymerase III, proofreading complex	GO:0043845
DNA polymerase III, clamp loader complex	GO:0043846
DNA polymerase III, clamp loader chi/psi subcomplex	GO:0043847
RecFOR complex	GO:0043850
methanol-CoM methyltransferase complex	GO:0043853
chromosome segregation-directing complex	GO:0043913
host cell membrane pore complex	GO:0044084
host cell nuclear part	GO:0044094
host cell nucleoplasm	GO:0044095
type IV pilus	GO:0044096
polar tube	GO:0044099
sporoplasm	GO:0044100
host caveola	GO:0044155
host cell junction	GO:0044156
host cell projection	GO:0044157
host cell wall	GO:0044158
host thylakoid	GO:0044159
host thylakoid membrane	GO:0044160
host cell cytoplasmic vesicle	GO:0044161
host cell cytoplasmic vesicle membrane	GO:0044162
host cytoskeleton	GO:0044163
host cell cytosol	GO:0044164
host cell endoplasmic reticulum	GO:0044165
host cell endoplasmic reticulum lumen	GO:0044166
host cell endoplasmic reticulum membrane	GO:0044167
host cell rough endoplasmic reticulum	GO:0044168
host cell rough endoplasmic reticulum membrane	GO:0044169
host cell smooth endoplasmic reticulum	GO:0044170
host cell smooth endoplasmic reticulum membrane	GO:0044171
host cell endoplasmic reticulum-Golgi intermediate compartment	GO:0044172
host cell endoplasmic reticulum-Golgi intermediate compartment membrane	GO:0044173
host cell endosome	GO:0044174
host cell endosome membrane	GO:0044175
host cell filopodium	GO:0044176
host cell Golgi apparatus	GO:0044177
host cell Golgi membrane	GO:0044178
host cell late endosome	GO:0044184
host cell late endosome membrane	GO:0044185
host cell lipid particle	GO:0044186
host cell lysosome	GO:0044187
host cell lysosomal membrane	GO:0044188
host cell mitochondrial envelope	GO:0044190
host cell mitochondrial membrane	GO:0044191
host cell mitochondrial inner membrane	GO:0044192
host cell mitochondrial outer membrane	GO:0044193
cytolytic granule	GO:0044194
nucleoplasmic reticulum	GO:0044195
host cell nucleolus	GO:0044196
host cell nuclear envelope	GO:0044199
host cell nuclear membrane	GO:0044200
host cell nuclear inner membrane	GO:0044201
host cell nuclear outer membrane	GO:0044202
host cell nuclear lamina	GO:0044203
host cell nuclear matrix	GO:0044204
translation initiation ternary complex	GO:0044207
spanning component of plasma membrane	GO:0044214
other organism	GO:0044215
other organism cell	GO:0044216
other organism part	GO:0044217
other organism cell membrane	GO:0044218
host cell plasmodesma	GO:0044219
host cell perinuclear region of cytoplasm	GO:0044220
host cell synapse	GO:0044221
anammoxosome	GO:0044222
pirellulosome	GO:0044223
juxtaparanode region of axon	GO:0044224
apical pole of neuron	GO:0044225
basal pole of neuron	GO:0044226
methane-oxidizing organelle	GO:0044227
host cell surface	GO:0044228
host cell periplasmic space	GO:0044229
host cell envelope	GO:0044230
host cell presynaptic membrane	GO:0044231
organelle membrane contact site	GO:0044232
ER-mitochondrion membrane contact site	GO:0044233
other organism membrane	GO:0044279
subplasmalemmal coating	GO:0044280
mitochondrial crista junction	GO:0044284
bridge contact site	GO:0044285
peg and socket contact	GO:0044286
puncta adhaerentia	GO:0044288
contact site	GO:0044289
mitochondrial intracristal space	GO:0044290
cell-cell contact zone	GO:0044291
dendrite terminus	GO:0044292
dendriole	GO:0044293
dendritic growth cone	GO:0044294
axonal growth cone	GO:0044295
dendritic tuft	GO:0044296
cell body	GO:0044297
cell body membrane	GO:0044298
C-fiber	GO:0044299
cerebellar mossy fiber	GO:0044300
climbing fiber	GO:0044301
dentate gyrus mossy fiber	GO:0044302
axon collateral	GO:0044303
main axon	GO:0044304
calyx of Held	GO:0044305
neuron projection terminus	GO:0044306
dendritic branch	GO:0044307
axonal spine	GO:0044308
neuron spine	GO:0044309
osmiophilic body	GO:0044310
exoneme	GO:0044311
crystalloid	GO:0044312
cone cell pedicle	GO:0044316
rod spherule	GO:0044317
endoplasmic reticulum quality control compartment	GO:0044322
dendritic spine neck	GO:0044326
dendritic spine head	GO:0044327
pinosome	GO:0044352
micropinosome	GO:0044353
macropinosome	GO:0044354
